iter	Passed	Remaining
404	8795	12922
405	8816	12898
406	8837	12875
407	8861	12857
408	8882	12834
409	8904	12813
410	8927	12793
411	8949	12772
412	8969	12748
413	8989	12724
414	9009	12700
415	9030	12676
416	9052	12656
417	9073	12634
418	9094	12610
419	9115	12587
420	9137	12566
421	9164	12552
422	9184	12528
423	9204	12504
424	9225	12481
425	9248	12461
426	9271	12441
427	9291	12417
428	9311	12393
429	9333	12372
430	9355	12351
431	9375	12327
432	9396	12304
433	9417	12281
434	9437	12258
435	9460	12237
436	9480	12213
437	9500	12190
438	9523	12169
439	9544	12147
440	9565	12125
441	9585	12101
442	9606	12078
443	9629	12059
444	9652	12038
445	9672	12014
446	9693	11992
447	9713	11968
448	9736	11948
449	9762	11932
450	9787	11913
451	9807	11890
452	9828	11867
453	9849	11845
454	9870	11823
455	9893	11803
456	9918	11784
457	9938	11761
458	9962	11742
459	9982	11718
460	10003	11695
461	10023	11672
462	10044	11649
463	10070	11633
464	10090	11609
465	10110	11586
466	10133	11565
467	10156	11544
468	10176	11521
469	10196	11498
470	10217	11475
471	10237	11452
472	10260	11431
473	10280	11408
474	10301	11385
475	10321	11362
476	10344	11341
477	10367	11321
478	10387	11298
479	10407	11275
480	10428	11252
481	10449	11229
482	10476	11214
483	10502	11196
484	10522	11173
485	10546	11154
486	10572	11136
487	10593	11114
488	10613	11090
489	10633	11067
490	10656	11047
491	10677	11024
492	10696	11000
493	10716	10977
494	10740	10957
495	10766	10940
496	10786	10916
497	10805	10892
498	10825	10869
499	10846	10846
500	10870	10826
501	10891	10804
502	10911	10781
503	10944	10770
504	10967	10750
505	10987	10726
506	11007	10703
507	11027	10680
508	11048	10657
509	11075	10640
510	11094	10617
511	11115	10594
512	11138	10573
513	11159	10551
514	11179	10528
515	11199	10505
516	11220	10482
517	11240	10459
518	11262	10437
519	11282	10414
520	11302	10391
521	11323	10368
522	11345	10347
523	11369	10328
524	11391	10306
525	11412	10283
526	11432	10261
527	11452	10238
528	11478	10219
529	11497	10196
530	11517	10172
531	11539	10150
532	11563	10131
533	11583	10108
534	11603	10085
535	11624	10062
536	11645	10040
537	11667	10019
538	11688	9996
539	11709	9974
540	11730	9952
541	11753	9932
542	11779	9913
543	11800	9891
544	11820	9868
545	11840	9845
546	11862	9824
547	11884	9802
548	11905	9779
549	11925	9756
550	11949	9737
551	11976	9719
552	11996	9696
553	12016	9674
554	12036	9651
555	12063	9633
556	12083	9610
557	12103	9587
558	12123	9564
559	12143	9541
560	12170	9523
561	12190	9501
562	12211	9478
563	12231	9455
564	12250	9432
565	12275	9412
566	12295	9389
567	12317	9368
568	12338	9346
569	12364	9327
570	12385	9305
571	12405	9282
572	12426	9260
573	12446	9237
574	12467	9215
575	12487	9192
576	12507	9169
577	12528	9146
578	12547	9123
579	12572	9104
580	12593	9082
581	12613	9059
582	12633	9036
583	12653	9013
584	12677	8993
585	12698	8971
586	12721	8950
587	12741	8927
588	12769	8910
589	12792	8889
590	12812	8867
591	12832	8844
592	12852	8821
593	12875	8800
594	12896	8778
595	12916	8755
596	12936	8732
597	12957	8710
598	12981	8690
599	13002	8668
600	13022	8645
601	13045	8624
602	13069	8604
603	13089	8581
604	13109	8559
605	13129	8536
606	13150	8514
607	13171	8492
608	13197	8473
609	13217	8450
610	13237	8427
611	13257	8405
612	13280	8384
613	13301	8361
614	13321	8339
615	13341	8316
616	13361	8294
617	13388	8275
618	13409	8253
619	13429	8231
620	13450	8208
621	13471	8186
622	13492	8164
623	13512	8141
