iter	Logloss
126	0.5887131854
127	0.5884425197
128	0.588087089
129	0.5876342494
130	0.5872768678
131	0.5868791985
132	0.5864204405
133	0.5860138011
134	0.5856237115
135	0.5852529509
136	0.5848489396
137	0.584541096
138	0.5842874019
139	0.583858417
140	0.5835411132
141	0.5832398991
142	0.5828827451
143	0.582503983
144	0.5822202125
145	0.5818755392
146	0.5816064073
147	0.5812598425
148	0.5807951428
149	0.58043618
150	0.5801440431
151	0.5798025213
152	0.5794118713
153	0.5790125256
154	0.5786115867
155	0.5781691581
156	0.5778136609
157	0.5773775608
158	0.5770770658
159	0.5767133778
160	0.5763326509
161	0.5760361672
162	0.5755936523
163	0.5752720511
164	0.5748907394
165	0.5745151198
166	0.5742869
167	0.5740358839
168	0.5736505528
169	0.5733028327
170	0.5730391551
171	0.5727309406
172	0.5724199013
173	0.572203721
174	0.5718816355
175	0.5714817249
176	0.5711574369
177	0.5709009225
178	0.5705589123
179	0.5702677258
180	0.5699797108
181	0.5696054051
182	0.5693629974
183	0.569084969
184	0.568821554
185	0.5684784134
186	0.5681649501
187	0.56787402
188	0.5676013523
189	0.5673342808
190	0.5670593403
191	0.5668257629
192	0.5665472707
193	0.5662854515
194	0.5659742762
195	0.5657209283
196	0.5654284737
197	0.5650867442
198	0.5647963376
199	0.5645037357
200	0.5643256743
201	0.5640622713
202	0.5637045847
203	0.5633852505
204	0.5631088951
205	0.5628988332
206	0.5626021074
207	0.5621777746
208	0.5618363533
209	0.5615530046
210	0.5612873398
211	0.5610275512
212	0.5606562672
213	0.5604321094
214	0.5602051174
215	0.5597653033
216	0.5595151123
217	0.559252995
218	0.5589741579
219	0.5586529482
220	0.5584643923
221	0.5580369078
222	0.5577771086
223	0.5575237539
224	0.5572034539
225	0.5568784287
226	0.5565692734
227	0.5563343439
228	0.5560308935
229	0.5557628779
230	0.5555582613
231	0.5551503872
232	0.5548024825
233	0.5544540061
234	0.5541865131
235	0.5540231621
236	0.5537661276
237	0.5534452005
238	0.5530968356
239	0.552836062
240	0.5525543939
241	0.5522537182
242	0.5520226712
243	0.5518241608
244	0.5516249074
245	0.5514100916
246	0.5512619344
247	0.5509857699
248	0.5507676433
249	0.5505184464
250	0.5502234261
251	0.549971338
252	0.5496848355
253	0.549446012
254	0.549189804
255	0.5490252782
256	0.5487487432
257	0.5484616247
258	0.5481993666
259	0.5480091058
260	0.5477607371
261	0.5474799928
262	0.5472779204
263	0.5470872074
264	0.5469227224
265	0.5466662221
266	0.5464199578
267	0.5460132739
268	0.5457609473
269	0.5455370211
270	0.5453433495
271	0.5451123788
272	0.5449036329
273	0.5446187722
274	0.5443804254
275	0.5440905885
276	0.5439125159
277	0.5435971272
278	0.5433539155
279	0.5431283575
280	0.5428704139
281	0.5426294103
282	0.542422088
283	0.5421839544
284	0.5419555814
285	0.5417901333
286	0.5415192164
287	0.54127867
288	0.5410120369
289	0.5408284835
290	0.5406235023
291	0.5403974593
292	0.5401745703
293	0.5400102307
294	0.5397671579
295	0.5395527575
296	0.539371701
297	0.5392064131
298	0.5389417513
299	0.5387525984
300	0.5384659592
301	0.5383031875
302	0.5380948061
303	0.5378867284
304	0.5375632533
305	0.5373764671
306	0.5371467803
307	0.5368362349
308	0.5366341006
309	0.5364230336
310	0.5362634941
311	0.5360018593
312	0.5357905352
313	0.5356185066
314	0.5353622934
315	0.5350858561
316	0.5348907486
317	0.5345633442
318	0.534336626
319	0.5341917693
320	0.5339650058
321	0.5337267294
322	0.5334497376
323	0.5332362157
324	0.5330073568
325	0.5328525885
326	0.5326163067
327	0.5324075727
328	0.5322682651
329	0.5320396488
330	0.5318966082
331	0.5315954742
332	0.5313873901
333	0.5310841787
334	0.5308310644
335	0.5305372006
336	0.5303593427
337	0.5302104794
338	0.5299620427
339	0.5297980473
340	0.529524733
341	0.5293001869
342	0.5290340245
343	0.5287222571
344	0.5284861666
345	0.5282702712
346	0.5280519604
347	0.5279134424
348	0.5276674427
349	0.5274443655
350	0.5272514729
351	0.5270899015
352	0.5268879125
353	0.5267156232
354	0.5264953695
355	0.5261710006
356	0.5258794366
357	0.5256776036
358	0.5254045896
359	0.5252351639
360	0.5250175457
361	0.5247822053
362	0.5245117396
363	0.5242899197
364	0.524122333
365	0.5238951212
366	0.5236786916
367	0.5233277498
368	0.5230388608
369	0.5228333393
370	0.5226228402
371	0.5224256879
372	0.522192329
373	0.5219125624
374	0.5217142481
375	0.5215252856
376	0.521199415
377	0.5209840458
378	0.5207556333
379	0.520525333
380	0.5202475091
381	0.519958838
382	0.5197241158
383	0.5194782605
384	0.5193062419
385	0.5190987444
386	0.5188937756
387	0.51870224
388	0.5185155642
389	0.5183245235
390	0.518060335
391	0.5178057252
392	0.5175713734
393	0.5173420611
394	0.5170955911
395	0.5169091286
396	0.5166087656
397	0.5163993121
398	0.516162048
399	0.5159521432
400	0.51573492
401	0.5154632972
402	0.5152615847
403	0.5149598546
404	0.5148002126
405	0.5144439783
406	0.5142422746
407	0.5140131435
408	0.5138513028
409	0.5136793167
410	0.5135085449
411	0.5132947797
412	0.5130785364
413	0.5128715259
414	0.5126736284
415	0.5124561121
416	0.5122137589
417	0.5119800512
418	0.511757302
419	0.5115113147
420	0.5113183586
421	0.5109892575
422	0.5107748506
423	0.5105594407
424	0.5103195085
425	0.5100879045
426	0.5098290585
427	0.5095606093
428	0.5093189216
429	0.5091258906
430	0.5089224072
431	0.5087146144
432	0.5084737362
433	0.5082776691
434	0.5080094746
435	0.5078143026
436	0.507581085
437	0.507416531
438	0.5071295847
439	0.5068697661
440	0.5066043817
441	0.5064073761
442	0.5061564862
443	0.505895003
444	0.5056952905
445	0.5054706444
446	0.5052052914
447	0.5050189702
448	0.5047823959
449	0.5046114145
450	0.5043855709
451	0.5040434645
452	0.5037885404
453	0.5035453672
454	0.503346157
455	0.5031217065
456	0.502909713
457	0.5025566757
458	0.50239002
459	0.502203803
460	0.5018499523
461	0.5016613977
462	0.501418545
463	0.5011913849
464	0.500953985
465	0.5007628643
466	0.500488235
467	0.5002829668
468	0.5000981565
469	0.4997950816
470	0.4995721677
471	0.4993515436
472	0.4991392509
473	0.4989550168
474	0.4986431807
475	0.4984016169
476	0.4981742611
477	0.4979746017
478	0.4976976726
479	0.4974922259
480	0.4972220639
481	0.4969893268
482	0.4967760202
483	0.4966144052
484	0.4964488997
485	0.4962132569
486	0.4959740467
487	0.4957560869
488	0.495537881
489	0.4953533468
490	0.4951472026
491	0.494919437
492	0.494706623
493	0.4945397206
494	0.4943423146
495	0.4941540655
496	0.4939325115
497	0.4936653219
498	0.4934744356
499	0.4932903405
500	0.4931014338
501	0.492890477
502	0.4927022029
503	0.4924121403
504	0.4921754194
505	0.4919431513
506	0.4917128581
507	0.4915395292
508	0.4913221094
509	0.4910711609
510	0.4908455895
511	0.4906299337
512	0.4903072895
513	0.4901213335
514	0.4898910269
515	0.4896196501
516	0.4894167103
517	0.4892334796
518	0.4890935817
519	0.4888585421
520	0.4886317791
521	0.4884110137
522	0.4880310817
523	0.4878797717
524	0.4877070578
525	0.4875451381
526	0.4873761969
527	0.4872372663
528	0.4870163235
529	0.4868308888
530	0.4865569742
531	0.4862946826
532	0.4861277197
533	0.4859587714
534	0.4857923302
535	0.4855858605
536	0.4853735652
537	0.4851582913
538	0.4849213161
539	0.4847257335
540	0.484543385
541	0.4843346179
542	0.4841126424
543	0.4839124778
544	0.4837116386
545	0.4834595635
546	0.4831826466
547	0.482965909
548	0.4827367697
549	0.4824718182
550	0.4822508854
551	0.4820864439
552	0.4819030159
553	0.4816735893
554	0.4815283134
555	0.4813135371
556	0.4810502103
557	0.4808559811
558	0.4806071203
559	0.480426787
560	0.480201044
561	0.4800129454
562	0.4798766835
563	0.4796079546
564	0.4794092789
565	0.4792058937
566	0.4790367332
567	0.4788489891
568	0.4786690137
569	0.4784916453
570	0.4783018628
571	0.4781244435
572	0.4779494044
573	0.4777827069
574	0.4775639021
575	0.477331093
576	0.477182865
577	0.4769661641
578	0.4767576498
579	0.4764380951
580	0.47627713
581	0.4760959627
582	0.4758581267
583	0.4757219036
584	0.475561702
585	0.4753208714
586	0.4750803032
587	0.4748863341
588	0.4746345647
589	0.4744667121
590	0.4743061591
591	0.4740732657
592	0.4739036507
593	0.4737650983
594	0.4735880359
595	0.4733532261
596	0.4731154337
597	0.4729583423
598	0.4727514447
599	0.4725740842
600	0.4723952751
601	0.4722540637
602	0.4721326154
603	0.4719807978
604	0.4718010793
605	0.4716808799
606	0.471438922
607	0.4711716387
608	0.4710372605
609	0.4708317738
610	0.4706204455
611	0.4704895078
612	0.4703150899
613	0.4701504879
614	0.4699594799
615	0.4698183274
616	0.4696251556
617	0.4694447788
618	0.4692389151
619	0.4690865877
620	0.4689349684
621	0.4687148096
622	0.4685447311
623	0.4683695331
624	0.468254724
625	0.4680734718
626	0.4679244431
627	0.4677328402
628	0.4675083742
629	0.4673552486
630	0.467079454
631	0.4669312271
632	0.4668321148
633	0.4666043658
634	0.4663460569
635	0.4661848193
636	0.4659971277
637	0.4657692841
638	0.4656338415
639	0.4655093936
640	0.4652872416
641	0.4650885971
642	0.4648459859
643	0.4646939891
644	0.464587315
645	0.4644308578
646	0.4642300637
647	0.4640525598
648	0.4638660141
649	0.4636384604
650	0.4634902293
651	0.4633463752
652	0.4632092981
653	0.4629901109
654	0.4628203731
655	0.4627163086
656	0.4625509105
657	0.4623796384
658	0.4622437451
659	0.4620714017
660	0.4619239589
661	0.4617817123
662	0.4615366393
663	0.4613806666
664	0.46117458
665	0.4610340903
666	0.4608469373
667	0.4607762004
668	0.4606227878
669	0.4604065103
670	0.4602438705
671	0.4600675995
672	0.4598752237
673	0.4596865993
674	0.4595442508
675	0.4593261737
676	0.4590745795
677	0.4589327165
678	0.4587537185
679	0.4585458839
680	0.458326302
681	0.4581776264
682	0.4580610457
683	0.4579139511
684	0.4577669292
685	0.4576002887
686	0.457399084
687	0.4572354019
688	0.4570622391
689	0.4568877284
690	0.4567058012
691	0.4565914208
692	0.4564278036
693	0.456250472
694	0.4560774871
695	0.4559229383
696	0.4558115393
697	0.4556320765
698	0.4555038425
699	0.4554273529
700	0.4551843599
701	0.4550441105
702	0.4548081115
703	0.4546768579
704	0.4545087614
705	0.4543106844
706	0.4541613698
707	0.4540082102
708	0.4537992756
709	0.4536324607
710	0.4534751582
711	0.4533737533
712	0.4532723242
713	0.4531350617
714	0.4529175305
715	0.4528142243
716	0.4527093586
717	0.4525505522
718	0.4524698457
719	0.4523032528
720	0.4521505271
721	0.4520570649
722	0.4519192575
723	0.4517339643
724	0.4516445544
725	0.4514911766
726	0.4513141251
727	0.4511434343
728	0.4508982589
729	0.4507095182
730	0.4504728289
731	0.450362119
732	0.4502190596
733	0.450143181
734	0.4499498995
735	0.4498081725
736	0.4497261664
737	0.4495340011
738	0.4493922272
739	0.4491884484
740	0.4490496188
741	0.4488891802
742	0.4487338425
743	0.4486351909
744	0.4483962828
745	0.4482350603
746	0.4480970949
747	0.4479281367
748	0.4478095522
749	0.4476110678
750	0.4473893696
751	0.4472638785
752	0.4470955129
753	0.446928194
754	0.4467685819
755	0.4466678533
756	0.4464365063
757	0.4462883165
758	0.4461317148
759	0.4460344407
760	0.445921782
761	0.4457064126
762	0.4455301893
763	0.4453589456
764	0.4451596953
765	0.4450704264
766	0.4448467697
767	0.444627218
768	0.4444500811
769	0.4443560065
770	0.444203292
771	0.4440375343
772	0.4438473356
773	0.4436752426
774	0.4435636495
775	0.4434474177
776	0.4432815928
777	0.4431524942
778	0.4430143898
779	0.4428588155
780	0.4426953241
781	0.4425387994
782	0.4424251326
783	0.4423308034
784	0.4422058609
785	0.4421035184
786	0.441916289
787	0.441830565
788	0.4416636101
789	0.4415542289
790	0.4414373039
791	0.4413074346
792	0.4411513057
793	0.4410712937
794	0.4409052873
795	0.4408258796
796	0.4406790203
797	0.4404708281
798	0.4404016197
799	0.4402245017
800	0.4400474396
801	0.4399187487
802	0.4397779929
803	0.4397052545
804	0.4395556187
805	0.439439421
806	0.4392854606
807	0.439205153
808	0.4391069083
809	0.4389886829
810	0.4388840759
811	0.4387179168
812	0.4385481432
813	0.4384631244
814	0.4382804657
815	0.4381427246
816	0.4379971213
817	0.4378387917
818	0.4376929076
819	0.4374935311
820	0.4372524203
821	0.4370263441
822	0.4369563721
823	0.4367979659
824	0.4366733699
825	0.4364614821
826	0.4362589372
827	0.4360763267
828	0.4359359421
829	0.4357722779
830	0.435617969
831	0.4354599339
832	0.435253622
833	0.4351367106
834	0.434954833
835	0.434800629
836	0.4347304375
837	0.4345488005
838	0.4344158239
839	0.434288559
840	0.4342279495
841	0.4341257172
842	0.4339756785
843	0.4338064176
844	0.4336287643
845	0.4334537863
846	0.4332761698
847	0.4331331292
848	0.4330234486
849	0.432908776
850	0.432730073
851	0.4325624577
852	0.432422534
853	0.4322911349
854	0.4321561763
855	0.4320420135
856	0.4319889102
857	0.4318443185
858	0.4317135135
859	0.4316309555
860	0.4315250497
861	0.4313619518
862	0.4312213512
863	0.4311117747
864	0.4310153899
865	0.4308277408
866	0.4307050509
867	0.4304993514
868	0.4303803968
869	0.4301956446
870	0.430041547
871	0.4299036885
872	0.4297200531
873	0.4295071832
874	0.4294115928
875	0.4293037979
876	0.4291327269
877	0.4290206909
878	0.4289342434
879	0.4288623524
880	0.428774579
881	0.4285658844
882	0.4284217256
883	0.4282747913
884	0.4281495147
885	0.4280776979
886	0.4279206061
887	0.4278095344
888	0.4277354079
889	0.4275785021
890	0.427454704
891	0.4272902865
892	0.4271266058
893	0.4269818276
894	0.4269125267
895	0.4268226109
896	0.4267326095
897	0.4265908671
898	0.4264879741
899	0.4263246778
900	0.4261526577
901	0.4260207923
902	0.4258628353
903	0.4256836857
904	0.4255739092
905	0.4254325353
906	0.4252671493
907	0.4251283991
908	0.4250001671
909	0.4249359681
910	0.4247975768
911	0.4246297435
912	0.4245686218
913	0.4243919146
914	0.4242208538
915	0.4240508744
916	0.4239328555
917	0.4238050035
918	0.4236320643
919	0.4234999304
920	0.4233668601
921	0.423241584
922	0.4231509246
923	0.4230939056
924	0.4229931778
925	0.4229113288
926	0.4228096578
927	0.4226531948
928	0.4225244439
929	0.4224595143
930	0.4223050658
931	0.4222454058
932	0.4221336024
933	0.4219611742
934	0.4218617268
935	0.4217428968
936	0.4216066544
937	0.4215036039
938	0.4213687318
939	0.4212135108
940	0.421110292
941	0.4209945884
942	0.4208219563
943	0.4207103912
944	0.4206142946
945	0.4204916307
946	0.4204282652
947	0.4203055603
948	0.4201782899
949	0.4200866478
950	0.4199451443
951	0.419764443
952	0.4197039273
953	0.4195565146
954	0.4194100204
955	0.4192452013
956	0.4191262971
957	0.4190899533
958	0.4190045657
959	0.4187982256
960	0.4186730219
961	0.4185143876
962	0.4183409808
963	0.4182594916
964	0.4181223481
965	0.4180598235
966	0.4179194662
967	0.4177755961
968	0.417708423
969	0.4175982048
970	0.417486701
971	0.4173182421
972	0.4172189297
973	0.4170584738
974	0.4169038126
975	0.4167130273
976	0.4166502453
977	0.4165069613
978	0.4163731285
979	0.4162864499
980	0.4161841553
981	0.4161250029
982	0.4160060369
983	0.4158534082
984	0.4156954894
985	0.4156243549
986	0.4155100209
987	0.4154422676
988	0.4153266715
989	0.4151770661
990	0.4150421127
991	0.4149046374
992	0.4148575692
993	0.4148135269
994	0.4146913378
995	0.4145824306
996	0.4144397255
997	0.4143019422
998	0.4142028778
999	0.4140801761
